>> myRootFailedAt(:,[3:4,6])
ans =
                  number              root               row in sideByside
   9223372036854775808                900003                  1182
   9223372036854775808                900004                  1183
   9223372036854775808                900005                  1184
   9223372036854775808                900006                  1185
   9223372036854775808                900007                  1186
   9223372036854775808                900008                  1187
   9223372036854775808                900009                  1188
   9223372036854775808                900010                  1189
   9223372036854775808                900011                  1190
   9223372036854775808                900012                  1191
   9223372036854775808                900013                  1192
   9223372036854775808                900014                  1193
   9223372036854775808                900015                  1194
   9223372036854775808                900016                  1195
   9223372036854775808                900017                  1196
   9223372036854775808                900018                  1197
   9223372036854775808                900019                  1198
   9223372036854775808                900020                  1199
   9223372036854775808                900021                  1200

>> diary off
>> diary off
>> sideByside(:,[1:4])
ans =
   nroot()'s solution     nthroot()'s solution     base number            n-order of root

  1.41421356237309e+000  1.41421356237309e+000  2.00000000000000e+000  2.00000000000000e+000
  1.25992104989487e+000  1.25992104989487e+000  2.00000000000000e+000  3.00000000000000e+000
  1.18920711500272e+000  1.18920711500272e+000  2.00000000000000e+000  4.00000000000000e+000
  1.14869835499703e+000  1.14869835499704e+000  2.00000000000000e+000  5.00000000000000e+000
  1.12246204830937e+000  1.12246204830937e+000  2.00000000000000e+000  6.00000000000000e+000
  1.10408951367381e+000  1.10408951367381e+000  2.00000000000000e+000  7.00000000000000e+000
  1.09050773266526e+000  1.09050773266526e+000  2.00000000000000e+000  8.00000000000000e+000
  1.08005973889231e+000  1.08005973889231e+000  2.00000000000000e+000  9.00000000000000e+000
  1.07177346253629e+000  1.07177346253629e+000  2.00000000000000e+000  1.00000000000000e+001
  1.06504108943996e+000  1.06504108943996e+000  2.00000000000000e+000  1.10000000000000e+001
  1.05946309435930e+000  1.05946309435930e+000  2.00000000000000e+000  1.20000000000000e+001
  1.05476607648165e+000  1.05476607648165e+000  2.00000000000000e+000  1.30000000000000e+001
  1.05075663865322e+000  1.05075663865322e+000  2.00000000000000e+000  1.40000000000000e+001
  1.04729412282063e+000  1.04729412282063e+000  2.00000000000000e+000  1.50000000000000e+001
  1.04427378242741e+000  1.04427378242741e+000  2.00000000000000e+000  1.60000000000000e+001
  1.04161601065058e+000  1.04161601065058e+000  2.00000000000000e+000  1.70000000000000e+001
  1.03925922603184e+000  1.03925922603184e+000  2.00000000000000e+000  1.80000000000000e+001
  1.03715504444619e+000  1.03715504444619e+000  2.00000000000000e+000  1.90000000000000e+001
  1.03526492384138e+000  1.03526492384138e+000  2.00000000000000e+000  2.00000000000000e+001
  1.03355778300703e+000  1.03355778300703e+000  2.00000000000000e+000  2.10000000000000e+001
  1.00000693135720e+000  1.00000693135720e+000  2.00000000000000e+000  1.00002000000000e+005
  1.00000693128789e+000  1.00000693128789e+000  2.00000000000000e+000  1.00003000000000e+005
  1.00000693121858e+000  1.00000693121858e+000  2.00000000000000e+000  1.00004000000000e+005
  1.00000693114927e+000  1.00000693114927e+000  2.00000000000000e+000  1.00005000000000e+005
  1.00000693107996e+000  1.00000693107996e+000  2.00000000000000e+000  1.00006000000000e+005
  1.00000693101066e+000  1.00000693101066e+000  2.00000000000000e+000  1.00007000000000e+005
  1.00000693094135e+000  1.00000693094135e+000  2.00000000000000e+000  1.00008000000000e+005
  1.00000693087205e+000  1.00000693087205e+000  2.00000000000000e+000  1.00009000000000e+005
  1.00000693080275e+000  1.00000693080275e+000  2.00000000000000e+000  1.00010000000000e+005
  1.00000693073344e+000  1.00000693073344e+000  2.00000000000000e+000  1.00011000000000e+005
  1.00000693066415e+000  1.00000693066415e+000  2.00000000000000e+000  1.00012000000000e+005
  1.00000693059485e+000  1.00000693059485e+000  2.00000000000000e+000  1.00013000000000e+005
  1.00000693052555e+000  1.00000693052555e+000  2.00000000000000e+000  1.00014000000000e+005
  1.00000693045626e+000  1.00000693045626e+000  2.00000000000000e+000  1.00015000000000e+005
  1.00000693038696e+000  1.00000693038696e+000  2.00000000000000e+000  1.00016000000000e+005
  1.00000693031767e+000  1.00000693031767e+000  2.00000000000000e+000  1.00017000000000e+005
  1.00000693024838e+000  1.00000693024838e+000  2.00000000000000e+000  1.00018000000000e+005
  1.00000693017909e+000  1.00000693017909e+000  2.00000000000000e+000  1.00019000000000e+005
  1.00000693010980e+000  1.00000693010980e+000  2.00000000000000e+000  1.00020000000000e+005
  1.00000693004051e+000  1.00000693004051e+000  2.00000000000000e+000  1.00021000000000e+005
  1.00000346570725e+000  1.00000346570725e+000  2.00000000000000e+000  2.00002000000000e+005
  1.00000346568992e+000  1.00000346568992e+000  2.00000000000000e+000  2.00003000000000e+005
  1.00000346567259e+000  1.00000346567259e+000  2.00000000000000e+000  2.00004000000000e+005
  1.00000346565527e+000  1.00000346565527e+000  2.00000000000000e+000  2.00005000000000e+005
  1.00000346563794e+000  1.00000346563794e+000  2.00000000000000e+000  2.00006000000000e+005
  1.00000346562061e+000  1.00000346562061e+000  2.00000000000000e+000  2.00007000000000e+005
  1.00000346560328e+000  1.00000346560328e+000  2.00000000000000e+000  2.00008000000000e+005
  1.00000346558596e+000  1.00000346558596e+000  2.00000000000000e+000  2.00009000000000e+005
  1.00000346556863e+000  1.00000346556863e+000  2.00000000000000e+000  2.00010000000000e+005
  1.00000346555130e+000  1.00000346555130e+000  2.00000000000000e+000  2.00011000000000e+005
  1.00000346553398e+000  1.00000346553398e+000  2.00000000000000e+000  2.00012000000000e+005
  1.00000346551665e+000  1.00000346551665e+000  2.00000000000000e+000  2.00013000000000e+005
  1.00000346549932e+000  1.00000346549932e+000  2.00000000000000e+000  2.00014000000000e+005
  1.00000346548200e+000  1.00000346548200e+000  2.00000000000000e+000  2.00015000000000e+005
  1.00000346546467e+000  1.00000346546467e+000  2.00000000000000e+000  2.00016000000000e+005
  1.00000346544734e+000  1.00000346544734e+000  2.00000000000000e+000  2.00017000000000e+005
  1.00000346543002e+000  1.00000346543002e+000  2.00000000000000e+000  2.00018000000000e+005
  1.00000346541269e+000  1.00000346541269e+000  2.00000000000000e+000  2.00019000000000e+005
  1.00000346539537e+000  1.00000346539537e+000  2.00000000000000e+000  2.00020000000000e+005
  1.00000346537804e+000  1.00000346537804e+000  2.00000000000000e+000  2.00021000000000e+005
  1.00000231047787e+000  1.00000231047787e+000  2.00000000000000e+000  3.00002000000000e+005
  1.00000231047017e+000  1.00000231047017e+000  2.00000000000000e+000  3.00003000000000e+005
  1.00000231046246e+000  1.00000231046246e+000  2.00000000000000e+000  3.00004000000000e+005
  1.00000231045476e+000  1.00000231045476e+000  2.00000000000000e+000  3.00005000000000e+005
  1.00000231044706e+000  1.00000231044706e+000  2.00000000000000e+000  3.00006000000000e+005
  1.00000231043936e+000  1.00000231043936e+000  2.00000000000000e+000  3.00007000000000e+005
  1.00000231043166e+000  1.00000231043166e+000  2.00000000000000e+000  3.00008000000000e+005
  1.00000231042396e+000  1.00000231042396e+000  2.00000000000000e+000  3.00009000000000e+005
  1.00000231041626e+000  1.00000231041626e+000  2.00000000000000e+000  3.00010000000000e+005
  1.00000231040856e+000  1.00000231040856e+000  2.00000000000000e+000  3.00011000000000e+005
  1.00000231040085e+000  1.00000231040086e+000  2.00000000000000e+000  3.00012000000000e+005
  1.00000231039315e+000  1.00000231039315e+000  2.00000000000000e+000  3.00013000000000e+005
  1.00000231038545e+000  1.00000231038545e+000  2.00000000000000e+000  3.00014000000000e+005
  1.00000231037775e+000  1.00000231037775e+000  2.00000000000000e+000  3.00015000000000e+005
  1.00000231037005e+000  1.00000231037005e+000  2.00000000000000e+000  3.00016000000000e+005
  1.00000231036235e+000  1.00000231036235e+000  2.00000000000000e+000  3.00017000000000e+005
  1.00000231035465e+000  1.00000231035465e+000  2.00000000000000e+000  3.00018000000000e+005
  1.00000231034695e+000  1.00000231034695e+000  2.00000000000000e+000  3.00019000000000e+005
  1.00000231033925e+000  1.00000231033925e+000  2.00000000000000e+000  3.00020000000000e+005
  1.00000231033155e+000  1.00000231033155e+000  2.00000000000000e+000  3.00021000000000e+005
  1.00000173286079e+000  1.00000173286079e+000  2.00000000000000e+000  4.00002000000000e+005
  1.00000173285646e+000  1.00000173285646e+000  2.00000000000000e+000  4.00003000000000e+005
  1.00000173285212e+000  1.00000173285212e+000  2.00000000000000e+000  4.00004000000000e+005
